Fecha,Fecha_eje,Hombre,Mujer
abril 2020,abr. 20,"16,63567961","34,73095255"
mayo 2020,may. 20,"13,08552414","29,32954224"
junio 2020,jun. 20,"13,92894892","27,76164683"
julio 2020,jul. 20,"10,73446306","23,37734662"
