Fecha,Fecha_eje,Hombre,Mujer
febrero 2020,feb. 20,"3,0","9,0"
marzo 2020,mar. 20,"7,0","13,0"
abril 2020,abr. 20,"12,0","22,0"
mayo 2020,may. 20,"15,0","28,0"
junio 2020,jun. 20,"16,0","30,0"
julio 2020,jul. 20,"16,0","32,0"
agosto 2020,ago. 20,"15,0","32,0"
septiembre 2020,sept. 20,"13,0","30,0"
octubre 2020,oct. 20,"12,0","27,0"
noviembre 2020,nov. 20,"11,0","25,0"
diciembre 2020,dic. 20,"10,0","23,0"
enero 2021,ene. 21,"9,0","21,0"
febrero 2021,feb. 21,"9,0","22,0"
