Pais,Perdida_Hombres,Perdida_Mujeres
Perú***,"-0,1438","-0,2155"
Barbados,"-0,1532","-0,1677"
Costa Rica,"-0,0735","-0,1366"
Chile,"-0,0765","-0,1343"
Brasil,"-0,0634","-0,0814"
Colombia,"-0,0441","-0,0705"
Jamaica,"-0,0494","-0,0695"
Rep. Dominicana,"-0,0232","-0,0679"
México**,"-0,02","-0,0581"
Argentina,"0,0302","-0,05"
Uruguay,"-0,008","-0,0308"
Nicaragua,"-0,0148","-0,0303"
Ecuador,"-0,005","-0,0186"
Paraguay,"0,0421","0,0378"
Bolivia*,"0,0453","0,0828"
