Pais,Escolaridad,Escolaridad_eje,Hombres,Mujeres
Total,"[0,8]","0-8","-0,0529554601","-0,03386534644"
Total,"[9,13]","9-13","-0,1198543679","-0,02842904465"
Total,14+,"14+","-0,08098467241","-0,0348268624"
